GeneSymbol	D0-DC-n1	D0-DC-n2	D0-DP-n1	D0-DP-n2	D0-DP-n3	D4-DC-n1	D4-DC-n2	D4-DC-n3	D4-DP-n1	D4-DP-n2	D4-DP-n3	D7-DC-n1	D7-DC-n2	D7-DP-n1	D7-DP-n2	D7-DP-n3
Abcg4	1	1	0	22	0	0	0	0	0	0	0	0	10	2	0	0
Abcg5	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Abcg8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Abhd1	6	6	11	14	15	0	6	2	2	6	4	5	7	4	10	9
Abhd10	553	548	1238	1132	1231	522	519	622	871	1107	904	574	659	1166	1404	1510
Abhd11	393	406	907	554	508	944	1158	650	754	1176	934	687	677	426	526	572
Abhd11os	3	0	0	2	0	9	13	4	0	0	1	6	12	0	0	0
Abhd12	4390	3637	2056	1686	1445	8734	10526	9639	1813	2109	2226	9588	11116	1808	1994	2548
Abhd12b	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Abhd13	1674	1672	3501	2740	2966	876	1111	1330	2910	2127	1600	1051	2124	1864	3261	5082
Abhd14a	177	113	455	207	144	347	335	302	347	426	469	187	236	100	132	131
Abhd14b	147	163	90	130	41	340	368	258	90	102	128	182	185	53	87	65
Abhd15	1105	1061	932	948	863	278	333	598	590	437	443	628	764	613	939	1119
Abhd16a	3679	3845	4078	2458	2521	2988	3645	3716	2250	2785	2631	3688	4165	2790	3097	3801
Abhd16b	5	4	4	3	3	0	1	0	0	15	0	12	14	1	0	1
Abhd17a	7164	7031	9940	6390	5273	5497	5402	4783	4892	5574	4813	6741	6753	6236	6946	8278
Abhd17b	4039	3873	2500	1445	1442	2368	2297	1853	1841	2240	1688	1265	1508	1079	1309	2070
Abhd17c	2735	2224	5155	4789	4322	3107	3602	2792	4073	4461	3498	3863	4906	4469	5410	7096
Abhd2	467	603	702	710	703	511	504	484	768	785	658	361	390	670	1024	1158
Abhd3	26	19	12	0	0	18	89	65	0	0	2	56	71	0	1	0
Abhd4	2172	2051	601	553	542	3850	4388	3482	553	481	655	2950	3164	394	464	516
Abhd5	849	863	67	73	47	772	907	1301	251	318	350	1093	919	22	45	46
Abhd6	640	617	172	197	260	305	209	335	252	261	239	345	328	247	248	186
Abhd8	1630	1376	6969	5082	4573	1277	1183	1082	3640	3800	3163	1208	1812	5248	5583	6260
Abi1	5326	5738	6568	5586	5033	4569	6518	5478	4295	3782	3820	5000	5941	4141	5957	10235
Abi2	996	925	1199	670	845	303	987	991	1096	592	664	646	969	666	554	1138
Abi3	2236	1879	3623	6176	4613	2220	1699	1818	2408	1718	1439	2593	3519	4849	6204	9048
Abi3bp	2	7	16	7	2	167	45	29	6	21	0	24	33	2	6	7
Abl1	1250	1355	383	1932	1920	542	1074	1266	2016	1573	1683	1476	2273	1304	1857	2944
Abl2	191	359	152	382	305	342	367	296	427	307	285	289	467	217	358	571
Ablim1	7607	7783	6147	21283	18522	3339	5497	5745	21152	17620	22455	3091	8950	14002	23567	36856
Ablim2	15	22	8	2	4	4	61	44	34	18	21	27	21	49	11	33
Ablim3	4	2	1	0	0	2	69	33	7	4	16	1	30	0	2	0
Abr	3866	3626	823	1554	1712	1346	3008	2581	2379	2048	2353	3218	4403	1184	1909	3332
Abra	0	0	0	0	1	0	0	0	5	6	0	1	2	0	0	0
Abracl	3343	3341	5688	3080	2963	5125	3930	3124	2687	3682	3303	4119	3668	3444	3472	4524
Abt1	1362	1333	2837	3613	2799	1169	1346	1054	2161	2645	1600	1278	1569	2922	3534	4306
Abtb1	1801	1592	4756	4270	3642	1621	1193	1445	2446	1867	1733	1509	2112	4462	5009	6423
Abtb2	2629	2337	2420	5409	5029	682	1683	2275	4122	3585	3693	982	2962	3926	6241	9808
Acaa1a	4279	4076	2785	2352	2179	4300	4304	4243	2009	2685	2247	5006	5134	2501	2928	3329
Acaa1b	11	11	0	2	2	4	2	13	2	2	1	6	20	6	2	5
Acaa2	3091	2569	9059	9560	8138	4501	4966	5264	7135	7943	6481	3223	4407	8323	10041	11572
Acaca	118	217	55	135	112	301	245	134	200	325	305	211	272	164	121	180
Acacb	9	10	32	22	14	2	93	40	41	52	137	20	28	2	26	26
Acad10	122	118	148	182	186	156	210	211	231	283	242	139	222	159	216	261
Acad11	647	503	562	582	529	379	427	490	475	772	625	415	682	671	755	881
Acad12	47	78	60	46	44	127	95	99	40	54	52	106	101	23	27	34
Acad8	801	764	1194	1020	902	1104	873	985	884	936	1001	970	1082	984	1213	1270
Acad9	1703	1789	2154	1418	1497	1003	1595	1678	1969	2472	2173	1930	2320	1387	1570	2362
Acadl	9324	8814	3096	2467	2257	4843	6282	5201	3196	4661	4053	9854	8672	3364	2757	3558
Acadm	1654	1691	1859	2362	1760	2038	2112	1685	1514	1299	1261	2065	2233	1872	2226	3205
Acads	1295	1279	2558	2202	1788	1273	1189	1152	1767	1738	1743	1264	1557	2037	2515	3066
Acadsb	1273	1112	560	517	562	484	1159	1285	744	712	704	1216	1168	600	866	1058
Acadvl	3441	3019	3647	4247	3275	4239	4436	4337	3288	4385	3864	3159	3783	3502	4624	5361
Acan	31	24	14	59	116	0	0	32	76	26	6	18	41	28	80	151
Acap1	3466	3375	6979	8247	7702	2337	3041	3370	7688	8127	7541	2234	3216	7728	9848	12361
Acap2	1503	1845	859	1146	967	1088	1515	1894	1013	1065	1202	1629	1818	845	1183	1866
Acap3	522	362	373	719	645	685	978	1053	868	988	865	425	678	370	547	764
Acat1	4822	5181	6908	5551	5108	4505	4576	4542	5122	6813	5237	4387	5096	5252	5987	6753
Acat2	527	552	2145	1637	1565	772	535	606	1642	1621	1295	591	867	1715	1601	2029
Acat3	1	2	3	4	7	0	3	0	1	2	1	1	9	0	2	6
Acbd3	2217	2226	1259	1804	1867	1383	1923	2017	1851	1779	1570	1839	2566	1329	2015	2775
Acbd4	230	206	433	497	340	220	370	267	289	397	305	163	271	406	489	501
Acbd5	2294	2133	795	1021	1005	1170	1570	1779	1298	997	1065	1605	1912	629	1203	1856
Acbd6	959	996	1484	1775	1471	853	941	810	1426	2027	1676	1043	1215	2104	2121	2521
Acbd7	4	0	37	24	18	12	8	0	14	28	4	0	2	2	12	6
Accs	281	345	149	198	124	548	325	252	197	188	158	342	391	123	140	186
Acd	1570	1625	2625	3298	2917	1428	1609	1442	2503	2441	1869	1669	1881	3144	2931	3960
Ace	152	257	0	0	6	208	186	630	28	18	76	133	215	21	0	20
Ace2	6	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Acer1	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0
Acer2	106	198	146	148	130	86	67	112	187	151	166	22	62	69	92	207
Acer3	3400	3415	1335	446	575	5783	4813	4665	590	659	648	4960	4978	393	592	628
Ache	28	14	7	10	7	27	2	4	0	8	1	16	52	0	0	16
Acin1	1283	1129	323	2454	2022	919	1104	1021	1667	1478	1432	1410	1733	1867	2420	3247
Ackr1	2	1	0	0	0	0	0	0	0	0	2	2	277	0	0	0
Ackr2	0	1	0	0	0	107	4	14	0	15	4	0	11	0	0	0
Ackr3	39	17	22	0	0	2065	1156	1443	76	212	174	80	173	14	16	14
Ackr4	1	11	0	0	3	0	0	0	0	8	19	13	22	0	8	18
Acly	9845	8860	7778	10777	12822	11279	19456	17967	13171	14181	12880	8725	13591	8379	12230	16007
Acmsd	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acnat1	0	0	1	4	6	0	0	0	0	0	0	2	0	2	3	40
Aco1	2029	1961	1307	1608	1461	1515	3073	2876	1873	1162	1306	2578	3719	1254	1718	2059
Aco2	7841	8675	8726	11440	11688	7890	8124	8954	12777	15061	12046	7987	10361	11085	13418	16037
Acot1	71	72	22	8	12	30	12	82	8	35	16	218	300	16	2	5
Acot10	14	10	15	6	2	12	6	19	8	4	9	8	6	14	17	6
Acot11	492	479	0	16	2	216	286	405	29	167	117	331	371	1	5	2
Acot13	770	733	1944	1551	1282	1175	953	784	1104	1200	1020	1065	972	1703	1501	1633
Acot2	278	295	418	572	416	310	293	364	576	594	549	299	361	262	537	751
Acot4	0	6	25	0	8	0	0	14	0	6	0	13	44	0	0	0
Acot5	0	6	23	22	15	0	13	12	38	72	41	4	3	13	19	28
Acot6	10	33	10	25	34	8	14	30	51	59	53	46	47	18	15	27
Acot7	2610	2822	6136	4711	5165	4278	5079	4691	5116	7132	4900	3503	3684	6135	5414	5361
Acot8	539	526	1065	802	540	758	572	427	381	615	470	628	636	706	665	869
Acot9	2639	2670	3156	2201	1910	3440	3505	3278	2198	2453	2623	2980	2878	2118	2394	2726
Acox1	1427	1397	984	1230	1129	962	1693	1378	1074	685	740	1495	2246	899	1357	1783
Acox2	5	0	0	1	0	0	0	0	0	0	25	0	0	4	4	0
Acox3	4118	4331	545	695	749	2502	2897	3512	822	692	846	4226	5367	616	1014	1249
Acoxl	62	66	90	110	142	5	31	26	94	47	34	26	74	151	181	238
Acp1	970	1058	1685	1208	1305	1178	1410	1249	1536	2077	1668	1186	1138	1508	1667	1595
Acp2	1775	1649	597	718	569	2455	4324	4252	534	473	463	6569	8217	717	1025	1257
Acp5	4273	3973	5529	4602	3785	4835	6206	5791	3882	6220	5732	12473	14333	5096	6319	7083
Acp6	1098	1184	949	966	817	937	1123	859	1066	1528	1224	1347	1307	879	1095	1335
Acpp	418	429	78	95	125	409	219	549	178	101	136	52	68	34	168	148
Acpt	3	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0
Acrbp	27	19	23	39	41	39	22	25	6	55	16	17	44	40	21	62
Acsbg1	30	17	2	20	13	169	313	174	181	379	490	4	12	0	0	3
Acsbg2	0	0	4	2	0	0	0	0	0	0	1	0	0	0	1	2
Acsf2	309	260	71	122	122	233	214	185	178	301	289	361	262	89	147	214
Acsf3	263	287	317	212	344	328	362	272	288	454	378	446	468	386	393	380
Acsl1	1639	2084	252	378	367	542	1440	945	395	523	526	1239	1236	263	273	563
Acsl3	845	798	3256	3586	3852	286	840	664	2991	1817	1218	742	1693	3502	4259	6014
Acsl4	1952	2475	1274	880	1105	1459	2207	1995	1330	1499	1577	1417	1928	830	1422	1713
Acsl5	10423	10697	6224	4165	4526	9703	10545	11279	7030	10814	8979	12114	13092	4381	4842	5853
Acsm1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acsm3	1	4	1	0	1	1	0	0	5	0	1	0	1	2	1	0
Acsm5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Acss1	5639	5737	4233	4492	4564	3600	3829	4093	3885	3142	3216	5586	6922	3715	5763	7963
Acss2	970	952	1881	2208	2245	637	889	884	1590	1435	2153	673	987	1733	2405	3499
Acss2os	2	5	0	3	2	0	4	0	3	0	4	0	2	0	2	3
Acss3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Acta1	10	4	9	3	6	9	22	12	10	9	3	15	13	9	6	9
Acta2	44	32	23	67	48	36	11	7	10	29	14	67	114	70	45	79
Actb	371371	393765	251936	204722	167190	274261	318446	261337	181061	201723	212960	433246	458540	202602	218469	239155
Actbl2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Actc1	2	0	0	0	0	3	4	0	5	0	0	1	1	0	0	3
Actg1	53544	57286	37889	32639	28330	55882	60686	52890	26581	29348	27988	59859	55714	27015	30232	35962
Actg2	6	6	2	23	0	0	18	18	12	48	44	9	18	18	3	0
Actl10	2	4	0	0	0	0	0	0	0	11	2	0	6	0	0	9
Actl11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Actl6a	3156	3413	10567	6584	7696	3454	3440	3261	7093	10292	7238	3441	4486	7978	8421	8410
Actl7a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Actl7b	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Actl9	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1
Actn1	1260	978	464	2580	2199	590	1256	1159	1971	2300	2266	3412	4747	2051	2903	4087
Actn2	17	30	126	34	36	97	110	78	163	350	341	7	19	77	63	80
Actn3	11	32	46	4	13	0	36	0	27	49	37	32	35	41	7	14
Actn4	9963	9943	1600	14809	14532	7889	12797	12890	13831	16045	14042	11517	15999	11996	16403	20251
Actr10	3488	3312	9715	6087	5519	4512	3494	3247	4739	5451	4564	3364	4105	6670	7054	8039
Actr1a	5081	4610	8130	7401	6478	4547	6138	5432	6009	6016	5266	4802	6298	6408	9198	10947
Actr1b	2242	2275	3136	2559	2601	1511	2526	1782	2978	3498	2654	2369	2678	2311	3758	4302
Actr2	12101	12205	6246	5834	6212	9560	12077	10767	7015	8696	9576	11523	13156	5084	6332	9520
Actr3	50888	52572	38181	22896	22126	43736	48863	44140	26778	40260	38822	57152	59387	21152	24315	31714
Actr3b	75	25	11	0	2	0	71	26	4	31	4	85	84	14	4	12
Actr5	1108	1039	1379	2057	1807	509	808	617	1494	1412	1175	971	1394	1675	2033	2736
Actr6	468	624	1299	925	854	605	575	339	682	1162	817	660	676	802	646	1022
Actr8	1046	1000	1754	2002	1906	905	820	921	1478	1512	1394	1068	1528	2239	2228	2728
Actrt3	75	87	17	16	9	0	0	26	2	6	13	14	0	10	1	0
Acvr1	182	243	0	1	16	113	270	222	12	27	8	283	326	10	6	20
Acvr1b	40	49	37	72	73	62	8	46	46	16	31	34	69	30	79	98
Acvr1c	23	8	20	1	2	0	0	0	0	0	19	0	3	0	4	5
Acvr2a	446	416	163	63	25	66	124	289	138	259	287	206	205	35	37	79
Acvr2b	152	113	163	200	136	94	92	91	149	16	66	55	92	93	151	161
Acvrl1	3718	4047	237	106	66	3318	4649	3692	243	411	444	6769	6669	45	45	51
Acy1	247	255	491	359	324	565	701	696	537	794	614	202	258	240	435	372
Acy3	18	34	29	32	23	97	181	106	4	12	22	10	27	2	9	12
Acyp1	468	489	2298	1152	823	530	462	295	595	633	452	304	421	922	1029	1452
Acyp2	23	20	36	13	32	58	18	36	25	9	8	26	25	17	22	24
Ada	767	803	3663	4547	4179	1169	1348	1323	4496	5263	2964	1102	1868	5556	5635	6438
Adad1	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Adad2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Adal	295	272	707	641	687	300	372	383	703	682	626	318	400	507	543	872
Adam10	3316	3609	3711	4127	4487	5407	10497	8485	5454	4146	4892	2768	4604	2848	4478	7808
Adam11	340	388	37	0	0	42	21	50	0	0	0	82	80	0	1	0
Adam12	50	66	55	305	248	0	0	0	205	19	18	12	93	94	190	332
Adam15	824	835	29	99	27	12057	14819	14161	267	235	307	1568	2438	0	33	52
Adam17	5281	5476	2067	2294	2640	2714	5805	5493	2817	2397	2473	5774	8299	1969	2935	4758
Adam19	3885	3670	45	32	13	606	684	1041	669	995	1244	2051	2241	65	45	61
Adam1a	0	0	23	4	2	12	0	0	3	2	2	9	9	0	2	5
Adam1b	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Adam2	0	4	0	0	0	0	0	5	0	4	0	0	0	0	0	10
Adam21	0	6	0	0	4	0	1	0	0	0	0	2	0	6	0	6
Adam22	235	269	37	6	24	85	67	24	33	5	2	258	399	11	20	43
Adam23	4666	4347	4	38	20	132	364	84	2	0	16	3002	2814	4	2	53
Adam28	40	97	0	0	0	17	14	58	0	0	6	6	5	0	0	0
Adam3	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Adam30	16	8	16	0	0	0	13	0	0	0	4	3	4	0	0	0
Adam32	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Adam33	2	0	0	6	0	34	112	65	1	2	0	47	55	0	0	2
Adam4	4	10	23	5	0	0	0	2	3	2	7	0	11	10	6	22
Adam6b	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam8	11548	12919	20	102	64	14544	15486	14443	193	236	425	13292	12576	48	67	117
Adam9	1516	1277	225	346	331	2603	4502	4663	350	313	386	2334	3390	225	219	354
Adamdec1	12837	14732	136	32	12	1562	3801	3129	41	207	160	2001	2078	6	18	0
Adamts1	0	0	0	0	0	163	0	107	0	0	52	146	617	12	8	8
Adamts10	265	284	310	306	303	223	360	261	388	312	382	230	295	272	263	277
Adamts12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Adamts13	1	7	4	0	7	3	6	0	0	0	0	2	7	0	6	6
Adamts14	2	8	2	31	30	215	184	413	14	53	4	4	22	0	32	33
Adamts17	33	25	67	56	68	3	39	0	68	55	81	20	23	62	78	119
Adamts18	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Adamts19	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Adamts2	5	12	0	0	0	60	57	45	0	59	170	9	54	0	0	14
Adamts20	0	0	1	6	0	0	0	0	1	0	0	0	2	2	12	5
Adamts3	4	12	28	26	31	16	18	70	38	79	17	18	23	34	59	16
Adamts4	0	14	30	15	0	30	0	233	2	0	20	137	547	21	36	0
Adamts5	0	2	0	0	0	4	0	31	2	7	9	0	8	0	1	0
Adamts6	51	106	86	123	177	38	2	56	189	63	86	26	94	101	90	181
Adamts7	2	0	0	7	0	9	0	0	0	0	0	0	10	0	0	30
Adamts8	0	0	0	0	0	41	0	0	0	0	0	0	22	0	0	0
Adamts9	1	2	0	0	0	0	0	0	0	0	0	0	12	0	0	2
Adamtsl1	0	2	4	0	0	21	0	47	6	0	3	0	0	0	0	0
Adamtsl2	185	185	26	89	56	28	0	44	58	6	66	25	59	36	47	68
Adamtsl3	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0
Adamtsl4	178	96	0	4	3	475	893	707	44	64	105	122	218	0	3	24
Adamtsl5	12	6	0	0	0	559	229	354	25	42	22	28	114	0	8	0
Adap1	2133	1819	131	60	49	2320	2284	2450	176	246	309	1928	2101	2	18	11
Adap2	458	365	0	5	4	636	702	768	10	0	27	1112	1149	1	1	4
Adar	3484	3420	1014	1490	1451	1349	2661	3218	2645	2776	3461	2036	2879	756	1386	2233
Adarb1	23	28	96	36	24	62	189	135	2	34	63	18	86	1	37	14
Adarb2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
Adat1	109	61	127	112	64	92	106	74	155	212	148	84	83	79	108	129
Adat2	86	153	322	264	236	158	130	96	207	214	235	156	129	256	268	334
Adat3	229	189	305	399	268	233	112	138	190	296	223	165	233	251	346	374
Adck1	968	905	702	484	397	1118	907	1134	530	871	884	1055	1050	482	545	729
Adck2	1081	1104	1125	1059	1087	490	859	952	739	799	789	922	1237	918	1253	1704
Adck3	834	710	978	1180	974	923	1384	982	1151	954	833	557	695	576	1181	1588
Adck4	740	600	652	444	472	672	944	612	577	662	484	909	1046	498	635	728
Adck5	349	269	451	249	241	382	309	279	419	569	430	412	474	328	354	364
Adcy1	60	11	69	160	159	0	0	0	114	7	56	52	92	93	259	358
Adcy10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Adcy2	15	0	1	0	0	0	0	16	0	16	18	0	2	0	0	1
Adcy3	816	649	435	790	663	362	660	905	1037	1234	1241	1348	2398	298	677	1213
Adcy4	164	210	0	5	0	64	52	66	0	0	14	102	162	0	10	0
Adcy5	105	141	5	20	17	3	0	26	3	9	7	14	8	7	7	32
Adcy6	262	130	223	613	399	51	37	79	421	159	181	70	195	390	451	615
Adcy7	3191	2654	439	569	693	2952	4442	4793	1443	1961	2229	2851	3448	779	850	1139
Adcy8	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0
Adcy9	100	121	90	87	62	55	116	71	36	2	22	106	138	55	85	79
Adcyap1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Adcyap1r1	0	0	0	0	0	87	0	0	0	0	0	0	15	0	0	0
Add1	6289	6065	7165	8598	7759	5822	7813	7310	9025	9846	10318	5630	7903	6955	9267	13032
Add2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Add3	3508	3512	1316	2124	1904	7392	12040	10231	3819	6222	7893	3139	3992	1053	1392	2214
Adgb	24	56	0	0	0	98	85	63	6	0	4	63	77	2	15	0
Adgra2	173	64	233	233	349	95	0	116	193	103	210	70	225	22	16	56
Adgra3	183	136	19	30	19	71	80	14	11	11	22	187	273	10	24	47
Adgrb1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Adgrb2	15	15	16	9	14	10	4	36	42	82	68	3	11	20	13	16
Adgrb3	2	3	1	0	7	5	5	5	1	2	4	3	3	2	0	2
Adgrd1	6	17	28	0	0	0	0	8	0	87	111	0	25	0	43	14
Adgre1	6283	6112	310	120	72	36578	44344	38735	1510	1025	1649	14454	21417	54	128	188
Adgre4	1960	2332	25	20	8	1971	3177	2335	49	71	125	969	1647	4	0	11
Adgre5	10730	12265	5478	8748	7988	24896	38722	32785	9585	7795	7835	15274	18720	9710	13645	15917
Adgrf3	20	4	4	0	0	1	1	1	0	0	0	11	12	8	0	2
Adgrf4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Adgrf5	0	2	0	0	0	0	0	29	0	0	0	41	46	15	10	0
Adgrg1	589	766	1995	3362	3591	600	789	993	2668	2373	2011	519	1138	3452	3282	3962
Adgrg2	0	3	0	0	1	0	14	0	0	0	0	10	6	0	0	0
Adgrg3	282	299	200	109	68	232	449	184	112	217	259	328	274	29	29	28
Adgrg5	802	851	232	20	72	1837	1936	1742	881	2015	2511	1322	975	16	40	12
Adgrg6	219	159	0	0	0	125	396	490	2	0	10	107	120	0	0	0
Adgrg7	0	0	2	0	0	1	0	1	0	0	2	1	1	2	1	5
Adgrl1	99	108	151	587	452	145	75	119	221	176	186	86	144	318	473	518
Adgrl2	120	168	29	19	98	0	28	66	90	45	86	129	145	18	12	48
Adgrl3	38	26	0	0	0	0	0	1	0	0	0	72	76	0	0	0
Adgrl4	4	12	6	28	0	0	0	78	0	0	0	20	98	0	0	0
Adgrv1	53	35	0	0	16	33	27	18	0	3	8	40	27	0	2	0
Adh1	18	10	14	8	0	205	151	141	58	111	202	31	14	6	0	6
Adh4	4	0	0	0	0	18	19	10	0	4	0	0	2	0	0	0
Adh5	4248	4494	9127	5074	4937	5285	4759	4498	6793	10477	8278	4964	5522	6252	6252	5971
Adh6-ps1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Adh6a	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Adh7	0	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0
Adhfe1	59	7	0	3	5	31	12	80	1	8	19	208	222	0	1	3
Adi1	2025	2014	2968	3143	2617	1436	1577	1540	2518	2545	2379	2126	2400	2623	3387	4085
Adig	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2
Adipoq	0	6	0	8	4	22	3	18	0	20	2	0	2	2	0	0
Adipor1	9019	8714	11571	6792	6089	11804	12620	11113	6511	7476	6269	12120	13026	6608	7630	9427
Adipor2	2178	1967	2329	2016	1710	1971	1514	1326	1507	1386	1228	1346	1896	1956	2378	2604
Adk	2690	2709	4604	2273	2372	2647	2366	2505	3124	5044	3771	2169	2352	2589	2414	2700
Adm	117	134	33	20	28	283	483	248	139	138	68	51	64	25	10	12
Adm2	2	4	0	0	0	6	0	0	0	0	0	1	0	0	0	0
Adnp	45	35	28	87	48	21	18	30	39	56	39	22	33	51	72	114
Adnp2	1315	1398	1225	1279	1225	585	1112	830	1620	1164	1047	647	1017	1019	1287	1992
Ado	1493	1322	2248	1849	1728	1486	1515	1355	1518	1405	1125	1684	2094	1785	2187	2641
Adora1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adora2a	523	458	699	597	487	1007	1066	1117	627	924	880	245	386	757	584	861
Adora2b	630	610	18	10	5	2453	2517	2344	42	31	25	681	701	4	4	8
Adora3	82	93	4	2	0	23	6	44	0	0	0	107	48	3	0	4
Adpgk	3017	3328	1341	946	942	1360	1377	1380	1281	1783	1838	2309	2398	766	1124	1148
Adprh	4226	3977	5363	4160	3803	4821	5720	5097	3641	4520	3943	4565	4781	5567	5505	5800
Adprhl1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adprhl2	1101	1057	2442	1437	1211	1051	1082	1195	1287	1914	1496	1131	1387	1476	1744	2032
Adprm	413	514	1404	838	794	1082	519	359	753	775	580	425	524	1098	1330	1575
Adra1a	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adra1b	72	77	0	6	8	0	14	0	1	0	0	4	14	0	0	0
Adra1d	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0
Adra2a	12	2	2	0	2	66	2	50	6	2	0	6	32	0	0	0
Adra2b	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adra2c	0	0	8	0	0	0	0	0	0	0	2	0	0	0	1	0
Adrb1	42	8	3	1	0	30	26	52	9	0	2	162	237	8	0	4
Adrb2	2034	2258	1232	1390	1035	2946	2229	2800	1108	1347	1690	4730	4974	825	1214	1558
Adrbk1	10972	10436	6152	9985	9161	8306	10747	9508	9651	11269	10083	10943	11755	8944	10204	14449
Adrbk2	1749	1445	36	17	16	130	543	611	57	20	34	1819	2131	0	0	8
Adrm1	1627	1657	1788	2337	1861	2229	2150	2138	1793	2775	2077	1652	2086	1978	2252	2860
Adsl	3707	3516	6403	4826	4785	4251	4537	4084	6755	11124	8200	4163	4612	4960	5110	6056
Adss	3764	4068	7632	5422	5189	2370	3701	3462	5415	6690	5452	2479	3551	5175	5679	7084
Adssl1	2336	2333	624	527	576	5198	4857	4674	545	593	437	1365	1555	963	861	744
Adtrp	9	10	0	0	0	2	22	12	0	0	0	4	2	0	0	0
Aebp1	4	13	11	0	6	275	20	168	48	29	172	58	172	3	58	29
Aebp2	2323	2128	1439	1930	1895	1349	2236	1840	2183	2301	2480	1560	2072	1774	1944	2968
Aen	702	663	476	620	605	934	1290	1391	1060	1544	1510	840	823	457	569	889
Aes	7618	7095	9126	15326	11442	10296	10471	8666	9528	11871	9212	6967	8375	12356	13565	20314
AF067061	20	12	0	12	0	0	0	0	0	0	0	4	2	0	0	0
AF251705	2814	2709	149	57	20	4614	4312	3647	65	66	93	6997	6426	39	22	58
AF357399	6	2	4	1	2	4	0	0	3	0	1	6	2	3	2	1
AF529169	0	5	0	0	0	0	32	0	0	1	0	0	0	0	0	0
Afap1	704	608	315	908	920	247	130	166	468	215	280	552	808	641	905	1224
Afap1l1	30	2	14	16	30	110	168	390	18	48	22	42	94	1	0	10
Afap1l2	18	8	0	0	0	0	53	18	0	0	0	26	34	0	0	2
Aff1	1938	2149	542	2788	2775	1104	2173	1910	2758	1323	1838	1866	2742	2645	4156	5282
Aff2	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
Aff3	1049	1027	460	1965	1818	411	489	469	1521	886	947	495	988	1511	2316	3570
Aff4	2687	2896	742	2722	2336	2131	2818	2974	2355	1874	1952	2018	2880	2138	2863	3173
Afg3l1	3030	3409	2708	2478	2346	2300	2805	2833	3142	3979	3269	3236	3947	2234	3150	3526
Afg3l2	1345	1443	1012	1048	1169	1369	1761	1998	2049	2957	2611	1794	1822	1028	1372	1578
Afm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Afmid	510	318	221	315	289	235	252	170	330	288	241	239	366	404	477	508
Afp	38	75	113	49	61	203	99	102	127	231	292	90	129	36	40	31
Aftph	3033	2975	2979	4664	3936	2054	2561	2430	3079	2196	1863	2554	3599	3076	5284	6779
Aga	1152	1251	1384	831	698	1583	1401	1163	703	1018	976	1360	1452	810	1008	1076
Agap1	580	525	8	32	15	333	444	404	39	2	42	441	831	4	35	15
Agap2	95	47	42	133	58	2	20	17	110	43	63	22	43	43	75	132
Agap3	1445	1180	716	1803	1369	1071	1605	1415	1390	1265	1469	1627	2066	1368	1584	2139
